user_name,rating,date,review_content,review_id,app_version,replied_at,reply_content,thumbs_up_count,user_image_url,bank,source
Phillmon Haftom,3,2025-06-05 11:57:36,it's not working,937102c6-ae88-419c-994b-80e520faacb8,25.05.03,None,,0,https://play-lh.googleusercontent.com/a/ACg8ocJUHD1VlowMkpu5Ud6IlrkId8h-uGAlDtJtFS8bLkxHA1gDeA=mo,BOA,Google Play
Robel Alebachew,1,2025-06-03 16:21:34,"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",3559b91c-fad9-4032-bebe-cf99974b9628,,None,,0,https://play-lh.googleusercontent.com/a/ACg8ocKc3cWFE6DB-KelsfBZrSQ5KjVQ7TztXXm7wELqjMcFMLChYw=mo,BOA,Google Play
Haymanot Anberber,5,2025-06-03 10:32:35,exceptional,10e85f30-540d-4810-ba89-85a7e004480b,,None,,0,https://play-lh.googleusercontent.com/a/ACg8ocIwmyIbpn174q-SvjF22qALayqXshfNd2A-CAp6EcVs5j7mYg=mo,BOA,Google Play
Mohamed Abdillahi,5,2025-06-02 14:25:12,BoA Mobile good bank,d7f07898-4ba1-47b4-9e8c-a3cc10b1bf0f,25.05.03,None,,0,https://play-lh.googleusercontent.com/a-/ALV-UjWjpFDGs7v19_pZmUMCMtVR2F8pWgFtnQdx_Pau33zI25ducLU,BOA,Google Play
Ahadu tech,1,2025-06-01 15:51:10,this is worest app 24/7 loading,2ca9480b-ff5f-4b59-952c-5921db83dab2,25.05.03,None,,0,https://play-lh.googleusercontent.com/a-/ALV-UjWOhd6tDkB5D0Ws9KjbNiDZMM0fSVJ0ykgIWeFwpaPTgsqmNCU,BOA,Google Play
Fentaw Kefyalew,1,2025-06-01 10:17:10,This App is not interest for Android phone Please update it .,8cd852da-0257-4ca0-9003-314fb464e55a,,None,,0,https://play-lh.googleusercontent.com/a-/ALV-UjW-o_renKzwI_NVk4Z9tu_rdXJbZhiBUXAmxdfTawTVdRuq-7GF,BOA,Google Play
Mansour Abdulkadir,5,2025-06-01 00:47:32,BoA system is confartable,d9172c66-a605-4626-acc6-e1dbca0685cd,25.05.03,None,,0,https://play-lh.googleusercontent.com/a-/ALV-UjWBTOX_W3soQM62Qu5aC_OP2GP0PBmwc9J0vULfT4FccoQk0E8,BOA,Google Play
Kibrom Mebrahtu,5,2025-05-31 11:55:58,very nice Abyssinia bank is choice all,78c924d7-0a65-415c-9fca-bda9b078a157,25.05.03,None,,0,https://play-lh.googleusercontent.com/a/ACg8ocI_K80h76ramNzHxGxcQDmtMmg4-qbSWAqr1NmApNLL8fQDOw=mo,BOA,Google Play
Ethiopia,1,2025-05-27 21:16:27,"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",c3f2810d-cf99-4600-90ac-bef47adb9e7a,,None,,0,https://play-lh.googleusercontent.com/a/ACg8ocKgfyrWh_dWm13iUdnsiv6Y3B_9hY_rTiI67hppjky8hpEOBw=mo,BOA,Google Play
Gizachew Tesfahun,3,2025-05-25 19:14:52,Good service.,512f8c2b-8fac-41cc-978a-b58e39a1ea5c,25.05.03,None,,0,https://play-lh.googleusercontent.com/a/ACg8ocIix1Gtm5fb9xKlhypyXzFWtmAP2d4b16CGzSD-l_wk2w6Beg=mo,BOA,Google Play
