review,rating,date,bank,source
what is this app problem???,1,2025-06-05,CBE,Google Play
the app is proactive and a good connections.,5,2025-06-05,CBE,Google Play
I cannot send to cbebirr app. through this app.,3,2025-06-05,CBE,Google Play
good,4,2025-06-05,CBE,Google Play
not functional,1,2025-06-05,CBE,Google Play
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,CBE,Google Play
best,5,2025-06-04,CBE,Google Play
bezabih,5,2025-06-04,CBE,Google Play
Best Mobile Banking app ever,5,2025-06-04,CBE,Google Play
